Mode,Time(s),Value
DCI,5.1657118797,3.409573E-04
DCI,5.1803369522,3.382426E-04
DCI,5.1950359344,3.453553E-04
DCI,5.2099151611,3.491290E-04
DCI,5.2354898453,3.475613E-04
DCI,5.2546072006,3.455033E-04
DCI,5.2693710327,3.453368E-04
DCI,5.2839388847,3.387698E-04
DCI,5.2988171577,3.385756E-04
DCI,5.3255009651,3.446986E-04
DCI,5.3433098793,3.446570E-04
DCI,5.3583397865,3.421412E-04
DCI,5.3730888367,3.479359E-04
DCI,5.3881640434,3.422522E-04
DCI,5.4155092239,3.480237E-04
DCI,5.4324240685,3.488007E-04
DCI,5.4470648766,3.413226E-04
DCI,5.4619698524,3.442084E-04
DCI,5.4769411087,3.443610E-04
DCI,5.4953007698,3.437876E-04
DCI,5.5205869675,3.399584E-04
DCI,5.5353970528,3.432650E-04
DCI,5.5580191612,3.460444E-04
DCI,5.5730772018,3.504979E-04
DCI,5.5953559875,3.466502E-04
DCI,5.6140370369,3.487174E-04
DCI,5.6288452148,3.452813E-04
DCI,5.6474761963,3.433159E-04
DCI,5.6626710892,3.415585E-04
DCI,5.6853451729,3.444350E-04
DCI,5.7039289474,3.404301E-04
DCI,5.7187080383,3.385155E-04
DCI,5.7374467850,3.400462E-04
DCI,5.7522721291,3.490458E-04
DCI,5.7753610611,3.497626E-04
DCI,5.7931609154,3.488377E-04
DCI,5.8119587898,3.481023E-04
DCI,5.8274459839,3.457068E-04
DCI,5.8421339989,3.361384E-04
DCI,5.8653588295,3.443286E-04
DCI,5.8829941750,3.414198E-04
DCI,5.9017062187,3.395422E-04
DCI,5.9170131683,3.415724E-04
DCI,5.9316668510,3.482133E-04
DCI,5.9550600052,3.480653E-04
DCI,5.9726209641,3.469601E-04
DCI,5.9913439751,3.491198E-04
DCI,6.0065851212,3.421042E-04
DCI,6.0212931633,3.380253E-04
DCI,6.0455121994,3.418545E-04
DCI,6.0622482300,3.369894E-04
DCI,6.0808458328,3.389595E-04
DCI,6.0958018303,3.419655E-04
DCI,6.1107220650,3.456004E-04
DCI,6.1355252266,3.435933E-04
DCI,6.1554431915,3.415585E-04
DCI,6.1704120636,3.481578E-04
DCI,6.1853008270,3.442500E-04
DCI,6.1998977661,3.378819E-04
DCI,6.2254738808,3.428025E-04
DCI,6.2444691658,3.420163E-04
DCI,6.2595701218,3.405735E-04
DCI,6.2742090225,3.489533E-04
DCI,6.2890019417,3.476029E-04
DCI,6.3070230484,3.408232E-04
DCI,6.3330249786,3.513534E-04
DCI,6.3479142189,3.498319E-04
DCI,6.3628430367,3.405873E-04
DCI,6.3777489662,3.384508E-04
DCI,6.4034900665,3.387005E-04
DCI,6.4224939346,3.386404E-04
DCI,6.4376091957,3.426453E-04
DCI,6.4524168968,3.488562E-04
DCI,6.4674339294,3.499846E-04
DCI,6.4853181839,3.436720E-04
DCI,6.5114660263,3.483197E-04
DCI,6.5261960030,3.402497E-04
DCI,6.5407910347,3.379790E-04
DCI,6.5596241951,3.418868E-04
DCI,6.5855097771,3.441067E-04
DCI,6.6043090820,3.435101E-04
DCI,6.6196250916,3.393988E-04
DCI,6.6343421936,3.478064E-04
DCI,6.6491141319,3.436488E-04
DCI,6.6754860878,3.479913E-04
DCI,6.6937761307,3.478110E-04
DCI,6.7087311745,3.436766E-04
DCI,6.7236609459,3.419377E-04
DCI,6.7384991646,3.432789E-04
DCI,6.7596688271,3.388161E-04
DCI,6.7824420929,3.421597E-04
DCI,6.7972297668,3.428950E-04
DCI,6.8120880127,3.492215E-04
DCI,6.8268117905,3.407492E-04
DCI,6.8452749252,3.426499E-04
DCI,6.8710961342,3.453738E-04
DCI,6.8860731125,3.425759E-04
DCI,6.9007377625,3.378727E-04
DCI,6.9157161713,3.462895E-04
DCI,6.9353260994,3.453044E-04
DCI,6.9595208168,3.381085E-04
DCI,6.9744558334,3.498181E-04
DCI,6.9892492294,3.461230E-04
DCI,7.0041308403,3.389548E-04
DCI,7.0252728462,3.404301E-04
DCI,7.0484070778,3.466872E-04
DCI,7.0636401176,3.392647E-04
DCI,7.0785660744,3.369293E-04
DCI,7.0935220718,3.507060E-04
DCI,7.1117930412,3.482411E-04
DCI,7.1373491287,3.415539E-04
DCI,7.1520919800,3.464190E-04
DCI,7.1671347618,3.455588E-04
DCI,7.1821150780,3.370587E-04
DCI,7.2054061890,3.434176E-04
DCI,7.2263731956,3.375166E-04
DCI,7.2412700653,3.385617E-04
DCI,7.2559618950,3.483798E-04
DCI,7.2711329460,3.497718E-04
DCI,7.2954521179,3.490828E-04
DCI,7.3155579567,3.467658E-04
DCI,7.3304071426,3.474919E-04
DCI,7.3489351273,3.449761E-04
DCI,7.3641958237,3.427655E-04
DCI,7.3852920532,3.422661E-04
DCI,7.4051017761,3.425759E-04
DCI,7.4201269150,3.376692E-04
DCI,7.4388232231,3.453091E-04
DCI,7.4536638260,3.496285E-04
DCI,7.4752712250,3.470109E-04
DCI,7.4951162338,3.491383E-04
DCI,7.5098581314,3.467150E-04
DCI,7.5288019180,3.505719E-04
DCI,7.5436339378,3.437043E-04
DCI,7.5740499496,3.491383E-04
DCI,7.5889949799,3.491151E-04
DCI,7.6075010300,3.418221E-04
DCI,7.6229948997,3.400324E-04
DCI,7.6380620003,3.372067E-04
DCI,7.6638059616,3.395283E-04
DCI,7.6788620949,3.442778E-04
DCI,7.6972970963,3.453276E-04
DCI,7.7122302055,3.515014E-04
DCI,7.7272491455,3.416972E-04
DCI,7.7453169823,3.433205E-04
DCI,7.7680339813,3.471219E-04
DCI,7.7866539955,3.421227E-04
DCI,7.8015599251,3.357361E-04
DCI,7.8165831566,3.434037E-04
DCI,7.8353347778,3.472514E-04
DCI,7.8606681824,3.411885E-04
DCI,7.8757238388,3.479359E-04
DCI,7.8904671669,3.471497E-04
DCI,7.9054579735,3.428256E-04
DCI,7.9252939224,3.436535E-04
DCI,7.9498147964,3.436858E-04
DCI,7.9644551277,3.449345E-04
DCI,7.9795699120,3.442870E-04
DCI,7.9941778183,3.450270E-04
DCI,8.0153169632,3.482411E-04
DCI,8.0385007858,3.440234E-04
DCI,8.0534324646,3.468722E-04
DCI,8.0685529709,3.433667E-04
DCI,8.0833253860,3.410775E-04
DCI,8.1053085327,3.431170E-04
