Mode,Time(s),Value
DCI,58.7312011719,8.218653E-05
DCI,58.9311714172,8.116448E-05
DCI,59.1312942505,8.170557E-05
DCI,59.3312950134,8.214953E-05
DCI,59.5312461853,8.042917E-05
DCI,59.7313423157,8.010545E-05
DCI,59.9313545227,8.208016E-05
DCI,60.1313476562,8.045692E-05
DCI,60.3314628601,8.013319E-05
DCI,60.5314216614,8.054478E-05
DCI,60.7314491272,8.104424E-05
DCI,60.9315757751,8.101650E-05
DCI,61.1315307617,8.045229E-05
DCI,61.3315734863,8.016557E-05
DCI,61.5316543579,8.101650E-05
DCI,61.7316284180,8.204779E-05
DCI,61.9316673279,8.097950E-05
DCI,62.1317825317,8.017482E-05
DCI,62.3317565918,8.029968E-05
DCI,62.5317916870,8.063728E-05
DCI,62.7319221497,8.069740E-05
DCI,62.9319458008,8.051704E-05
DCI,63.1349983215,8.177493E-05
DCI,63.3349304199,8.173794E-05
DCI,63.5349693298,8.074364E-05
DCI,63.7351112366,8.134484E-05
DCI,63.9350662231,8.087313E-05
DCI,64.1350936890,7.836196E-05
DCI,64.3351821899,7.772839E-05
DCI,64.5351715088,8.133097E-05
DCI,64.7351989746,8.201079E-05
DCI,64.9353103638,8.037830E-05
DCI,65.1352767944,8.147433E-05
DCI,65.3352890015,8.204779E-05
DCI,65.5353317261,7.979560E-05
DCI,65.7353668213,8.032280E-05
DCI,65.9353942871,7.942100E-05
DCI,66.1354446411,8.010082E-05
DCI,66.3354873657,8.291722E-05
DCI,66.5354995728,8.257962E-05
DCI,66.7355499268,8.106737E-05
DCI,66.9356231689,8.057716E-05
DCI,67.1356430054,8.046617E-05
DCI,67.3357315063,8.080376E-05
DCI,67.5357131958,8.117836E-05
DCI,67.7357177734,8.137722E-05
DCI,67.9358062744,8.123385E-05
DCI,68.1358032227,7.958749E-05
DCI,68.3381729126,8.085926E-05
DCI,68.5381851196,8.101650E-05
DCI,68.7381668091,8.093788E-05
DCI,68.9382629395,8.179343E-05
DCI,69.1382980347,7.936551E-05
DCI,69.3382568359,8.147896E-05
DCI,69.5383758545,8.129860E-05
DCI,69.7383422852,8.075752E-05
DCI,69.9383544922,8.216340E-05
DCI,70.1384429932,8.145584E-05
DCI,70.3384094238,7.924527E-05
DCI,70.5384292603,8.063265E-05
DCI,70.7385482788,8.033668E-05
DCI,70.9385299683,8.103037E-05
DCI,71.1385726929,8.146046E-05
DCI,71.3386917114,8.022106E-05
DCI,71.5386428833,8.033668E-05
DCI,71.7386779785,7.898166E-05
DCI,71.9387359619,8.054016E-05
DCI,72.1387329102,8.086388E-05
DCI,72.3387451172,7.943950E-05
DCI,72.5387802124,8.136334E-05
DCI,72.7388076782,8.160382E-05
DCI,72.9388427734,7.973548E-05
DCI,73.1388931274,8.075752E-05
DCI,73.3389511108,8.097487E-05
DCI,73.5415649414,8.017944E-05
DCI,73.7415390015,8.010082E-05
DCI,73.9415359497,8.067427E-05
DCI,74.1416549683,8.057716E-05
DCI,74.3415985107,8.097950E-05
DCI,74.5416488647,8.223277E-05
DCI,74.7416763306,8.154370E-05
DCI,74.9416961670,8.006382E-05
DCI,75.1417465210,8.142346E-05
DCI,75.3419723511,7.996208E-05
DCI,75.5419464111,8.249638E-05
DCI,75.7418136597,8.104424E-05
DCI,75.9420318604,8.087313E-05
DCI,76.1419677734,8.013319E-05
DCI,76.3419494629,8.010545E-05
DCI,76.5420684814,8.135872E-05
DCI,76.7420425415,8.156683E-05
DCI,76.9420852661,8.127548E-05
DCI,77.1422882080,8.047542E-05
DCI,77.3421173096,8.114136E-05
DCI,77.5421752930,8.050316E-05
DCI,77.7422943115,8.115986E-05
DCI,77.9422836304,8.124310E-05
DCI,78.1423034668,8.166857E-05
DCI,78.3424148560,8.064190E-05
DCI,78.5423660278,8.060491E-05
DCI,78.7456436157,8.068352E-05
DCI,78.9424285889,8.062803E-05
DCI,79.1424636841,7.927301E-05
DCI,79.3449707031,8.004995E-05
DCI,79.5449218750,8.098875E-05
DCI,79.7449417114,8.103499E-05
DCI,79.9450683594,8.177956E-05
DCI,80.1450271606,8.008695E-05
DCI,80.3450698853,7.894929E-05
DCI,80.5451583862,8.316232E-05
DCI,80.7451553345,8.199692E-05
DCI,80.9451828003,8.073439E-05
DCI,81.1453170776,8.160382E-05
DCI,81.3452529907,8.067890E-05
DCI,81.5452957153,8.024881E-05
DCI,81.7453536987,8.074364E-05
DCI,81.9453811646,8.008695E-05
DCI,82.1454391479,8.047542E-05
DCI,82.3454589844,8.044304E-05
DCI,82.5454940796,8.038755E-05
DCI,82.7455215454,8.267211E-05
DCI,82.9455871582,7.999445E-05
DCI,83.1456222534,7.838046E-05
DCI,83.3456573486,8.152521E-05
DCI,83.5457687378,8.287097E-05
DCI,83.7457504272,8.064653E-05
DCI,83.9457778931,7.935626E-05
DCI,84.1464767456,8.214028E-05
DCI,84.3464736938,8.276460E-05
DCI,84.5464935303,8.208478E-05
DCI,84.7465972900,8.059566E-05
DCI,84.9465942383,8.010545E-05
DCI,85.1538085938,8.010545E-05
DCI,85.3538665771,7.844521E-05
DCI,85.5538482666,7.875506E-05
DCI,85.7539672852,8.113211E-05
DCI,85.9539489746,8.091938E-05
DCI,86.1539840698,8.234839E-05
DCI,86.3541030884,8.040605E-05
DCI,86.5540390015,8.003608E-05
DCI,86.7540817261,8.033668E-05
DCI,86.9541778564,8.193680E-05
DCI,87.1541290283,8.162232E-05
DCI,87.3541488647,8.147433E-05
DCI,87.5542373657,8.134484E-05
DCI,87.7541885376,7.992971E-05
DCI,87.9542160034,8.059103E-05
DCI,88.1543350220,8.121536E-05
